Field Name,Field Alias,Domain Name,Domain Description,Domain Type,Option Name,Option Code,Min Value,Max Value
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Hungary (HU),hun,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Indonesia (ID),idn,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,"Man, Isle Of (IM)",imn,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,India (IN),ind,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,British Indian Ocean Territory (IO),iot,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Ireland (IE),irl,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Iran (IR),irn,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Iraq (IQ),irq,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Iceland (IS),isl,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Israel (IL),isr,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Italy (IT),ita,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Jamaica (JM),jam,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Jersey (JE),jey,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Jordan (JO),jor,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Japan (JP),jpn,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Kazakhstan (KZ),kaz,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Kenya (KE),ken,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Kyrgyzstan (KG),kgz,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Cambodia (KH),khm,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Kiribati (KI),kir,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,St. Kitts And Nevis (KN),kna,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,"Korea, Republic Of (KR)",kor,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Kuwait (KW),kwt,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Laos (LA),lao,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Lebanon (LB),lbn,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Liberia (LR),lbr,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Libya (LY),lby,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,St. Lucia (LC),lca,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Liechtenstein (LI),lie,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Sri Lanka (LK),lka,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Lesotho (LS),lso,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Lithuania (LT),ltu,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Luxembourg (LU),lux,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Latvia (LV),lva,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Macau (MO),mac,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,St. Martin (MF),maf,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Morocco (MA),mar,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Monaco (MC),mco,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Moldova (MD),mda,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Madagascar (MG),mdg,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Maldives (MV),mdv,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Mexico (MX),mex,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Marshall Islands (MH),mhl,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Macedonia (MK),mkd,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Mali (ML),mli,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Malta (MT),mlt,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Burma (MM),mmr,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Montenegro (ME),mne,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Mongolia (MN),mng,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Northern Mariana Islands (MP),mnp,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Mozambique (MZ),moz,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Mauritania (MR),mrt,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Montserrat (MS),msr,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Martinique (MQ),mtq,,
country,Country,CountryCode,The country that owns that specific feature.,CodedValue,Mauritius (MU),mus,,
