areaSizeUom,buildingCondition,buildingConditionIndex,buildingCustodialType,buildingOpStatus,country,dataCollection,elevationUom,facilityConditionCode,facilityGrossSqFtUom,flexFieldYn,hasGiantVoice,hasMassNotificationDevice,heightMaxUom,installationId,installationName,isHeritageAsset,isRealProperty,majorCommand,missionDependencyIndex,owner,perimeterSizeUom,roadPostDirectional,roadPrefixDirectional,rpInterest,rpaConstructionType,rpaType,rpsuid,siteId,stateName,verticalDatumType,visitorMapName
,,,,,jpn,,,,,,,,,klza,jbCharleston,,,,,,,,,,,,1491,bjhz0001,,,
,,,,,kaz,,,,,,,,,knmd,jbElmendorfRichardson,,,,,,,,,,,,1492,bktz0001,,,
,,,,,ken,,,,,,,,,krsm,jbLangleyEustis,,,,,,,,,,,,1493,bktz0002,,,
,,,,,kgz,,,,,,,,,kwrd,jbMcGuireDixLakehurst,,,,,,,,,,,,1494,blcr0001,,,
,,,,,khm,,,,,,,,,kyjl,jbSanAntonioFortSamHouston,,,,,,,,,,,,1497,blzz0001,,,
,,,,,kir,,,,,,,,,kyjm,jbSanAntonioLacklandAfb,,,,,,,,,,,,1498,bmts0001,,,
,,,,,kna,,,,,,,,,ldcc,jbSanAntonioRandolphAfb,,,,,,,,,,,,1500,bnde0001,,,
,,,,,kor,,,,,,,,,ldxf,jeffersonBarracksAngs,,,,,,,,,,,,1502,bogo0001,,,
,,,,,kwt,,,,,,,,,ljyc,jeffersonProvingGrounds,,,,,,,,,,,,1504,bplz0001,,,
,,,,,lao,,,,,,,,,lklw,joeFossFieldAgs,,,,,,,,,,,,1505,braq0001,,,
,,,,,lbn,,,,,,,,,lktc,johnstownCambriaCountyAirport,,,,,,,,,,,,1506,brdm0001,,,
,,,,,lbr,,,,,,,,,lrkc,jointBaseAnacostiaBolling,,,,,,,,,,,,1508,brkr0001,,,
,,,,,lby,,,,,,,,,lrxq,jointBasePearlHarborHickam,,,,,,,,,,,,1509,brkr0002,,,
,,,,,lca,,,,,,,,,lsbc,kadenaAb,,,,,,,,,,,,1510,brmc0001,,,
,,,,,lie,,,,,,,,,lsga,kahuluiCommunicationStation,,,,,,,,,,,,1512,brrc0001,,,
,,,,,lka,,,,,,,,,ltuy,kalaeloaAng,,,,,,,,,,,,1514,brtr0001,,,
,,,,,lso,,,,,,,,,ltwl,keaukahaMilitaryReservation,,,,,,,,,,,,1515,bsgx0001,,,
,,,,,ltu,,,,,,,,,luxc,keeslerAfb,,,,,,,,,,,,1516,bshf0001,,,
,,,,,lux,,,,,,,,,lwrc,kellyAfb,,,,,,,,,,,,1517,bsya0001,,,
,,,,,lva,,,,,,,,,lxez,kellyFieldAnnex,,,,,,,,,,,,1518,btrs0001,,,
,,,,,mac,,,,,,,,,lybh,keyFieldAgs,,,,,,,,,,,,1519,btsg0001,,,
,,,,,maf,,,,,,,,,mabe,kirtlandAfb,,,,,,,,,,,,1521,bvgm0001,,,
,,,,,mar,,,,,,,,,mags,kisawyerAfb,,,,,,,,,,,,1522,bvht0001,,,
,,,,,mco,,,,,,,,,mahg,klamathFallsAprtKingsleyFieldAgs,,,,,,,,,,,,1523,bwkr0001,,,
,,,,,mda,,,,,,,,,mbmv,kleineBrogel,,,,,,,,,,,,1524,bwmf0001,,,
,,,,,mdg,,,,,,,,,mbpb,kulisAngb,,,,,,,,,,,,1525,bxrh0001,,,
,,,,,mdv,,,,,,,,,mdvl,kunsanAb,,,,,,,,,,,,1526,bxsr0001,,,
,,,,,mex,,,,,,,,,mhmv,lajesField,,,,,,,,,,,,1527,bxur0001,,,
,,,,,mhl,,,,,,,,,mjqb,lambertFieldStLouisIApAngb,,,,,,,,,,,,1528,bybz0001,,,
,,,,,mkd,,,,,,,,,mlrv,laPorteAngs,,,,,,,,,,,,1529,bypv0001,,,
,,,,,mli,,,,,,,,,mlwr,laughlinAfb,,,,,,,,,,,,1530,byxj0001,,,
,,,,,mlt,,,,,,,,,mmmd,lincolnMApAgs,,,,,,,,,,,,1531,cabt0001,,,
,,,,,mmr,,,,,,,,,mnwa,littleRockAfb,,,,,,,,,,,,1532,cacd0001,,,
,,,,,mne,,,,,,,,,mpls,loringAfb,,,,,,,,,,,,1533,cbtm0001,,,
,,,,,mng,,,,,,,,,mqna,losAngelesAfb,,,,,,,,,,,,1534,cbtm0002,,,
,,,,,mnp,,,,,,,,,mset,louisvilleIApAgs,,,,,,,,,,,,1535,cbtm0003,,,
,,,,,moz,,,,,,,,,msqb,lowryAfb,,,,,,,,,,,,1536,cccu0001,,,
,,,,,mrt,,,,,,,,,muhj,luisMunozMarinIApAgs,,,,,,,,,,,,1537,ccml0001,,,
,,,,,msr,,,,,,,,,mwhl,lukeAfb,,,,,,,,,,,,1539,ccml0002,,,
,,,,,mtq,,,,,,,,,mxdp,macDillAfb,,,,,,,,,,,,1540,ccml0003,,,
,,,,,mus,,,,,,,,,mxrd,malmstromAfb,,,,,,,,,,,,1541,ccrs0001,,,
,,,,,mwi,,,,,,,,,ngcb,mansfieldLahmAngb,,,,,,,,,,,,1542,ccwp0001,,,
,,,,,mys,,,,,,,,,ngcc,marchAfb,,,,,,,,,,,,1543,cddz0001,,,
,,,,,myt,,,,,,,,,nkak,marchArb,,,,,,,,,,,,1544,cdua0001,,,
,,,,,nam,,,,,,,,,nlzg,martinStateAprtAgs,,,,,,,,,,,,1546,cdzt0001,,,
,,,,,ncl,,,,,,,,,nrch,matherAfb,,,,,,,,,,,,1548,ceah0001,,,
,,,,,ner,,,,,,,,,ntmu,maxwellAfb,,,,,,,,,,,,1549,cekt0001,,,
,,,,,nfk,,,,,,,,,nuex,mcchordAfb,,,,,,,,,,,,1550,cfjg0001,,,
,,,,,nga,,,,,,,,,nvzr,mcclellanAfb,,,,,,,,,,,,1551,cfjn0001,,,
,,,,,nic,,,,,,,,,nzas,mcConnellAfb,,,,,,,,,,,,1552,cfjq0001,,,
,,,,,niu,,,,,,,,,other,mcEntireAngb,,,,,,,,,,,,1554,cnbc0001,,,
,,,,,nld,,,,,,,,,pbxp,mcGheeTysonAptAgs,,,,,,,,,,,,1555,cpbr0001,,,
,,,,,nor,,,,,,,,,pczp,memphisIApAgs,,,,,,,,,,,,1557,cpbt0001,,,
,,,,,npl,,,,,,,,,pdpg,middleGeorgiaRApAgs,,,,,,,,,,,,1558,cpbu0001,,,
,,,,,nru,,,,,,,,,pjms,minneapolisStPaulAgs,,,,,,,,,,,,1559,cpbv0001,,,
,,,,,nzl,,,,,,,,,pjvy,minotAfb,,,,,,,,,,,,1560,cpbw0001,,,
,,,,,omn,,,,,,,,,plxl,minotAngs,,,,,,,,,,,,1561,cpbx0001,,,
,,,,,pak,,,,,,,,,pnqs,misawaAb,,,,,,,,,,,,1562,cpby0001,,,
,,,,,pan,,,,,,,,,pqwy,moffettFieldAngb,,,,,,,,,,,,1564,crll0001,,,
,,,,,pcn,,,,,,,,,prjy,montgomeryRegionalAptAngb,,,,,,,,,,,,1565,crra0001,,,
,,,,,per,,,,,,,,,prqe,moodyAfb,,,,,,,,,,,,1567,crwu0001,,,
,,,,,phl,,,,,,,,,pste,moronAirBase,,,,,,,,,,,,1568,crwu0002,,,
,,,,,pj,,,,,,,,,psxe,mountainHomeAfb,,,,,,,,,,,,1571,crwu0003,,,
,,,,,plw,,,,,,,,,ptfl,myrtleBeachAfb,,,,,,,,,,,,1577,ctgb0001,,,
,,,,,png,,,,,,,,,pykl,nashvilleIApAgs,,,,,,,,,,,,1578,ctgc0001,,,
,,,,,pol,,,,,,,,,qfqe,nasJrbNewOrleans,,,,,,,,,,,,1579,cult0001,,,
