Field Name,Field Alias,Domain Type,Domain Name,Option Name,Option Code,Min Value,Max Value
country,Country,CodedValue,CountryCode,Sudan (SD),sdn,,
country,Country,CodedValue,CountryCode,Senegal (SN),sen,,
country,Country,CodedValue,CountryCode,Singapore (SG),sgp,,
country,Country,CodedValue,CountryCode,South Georgia and South Sandwich Islands (GS),sgs,,
country,Country,CodedValue,CountryCode,"Saint Helena, Ascension and Tristan Da Cunha (SH)",shn,,
country,Country,CodedValue,CountryCode,Solomon Islands (SB),slb,,
country,Country,CodedValue,CountryCode,Sierra Leone (SL),sle,,
country,Country,CodedValue,CountryCode,El Salvador (SV),slv,,
country,Country,CodedValue,CountryCode,San Marino (SM),smr,,
country,Country,CodedValue,CountryCode,Somalia (SO),som,,
country,Country,CodedValue,CountryCode,St. Pierre And Miquelon (PM),spm,,
country,Country,CodedValue,CountryCode,Serbia (RS),srb,,
country,Country,CodedValue,CountryCode,South Sudan (SS),ssd,,
country,Country,CodedValue,CountryCode,Sao Tome And Principe (ST),stp,,
country,Country,CodedValue,CountryCode,Suriname (SR),sur,,
country,Country,CodedValue,CountryCode,Slovakia (SK),svk,,
country,Country,CodedValue,CountryCode,Slovenia (SI),svn,,
country,Country,CodedValue,CountryCode,Sweden (SE),swe,,
country,Country,CodedValue,CountryCode,Eswatini (formerly Swaziland) (SZ),swz,,
country,Country,CodedValue,CountryCode,Sint Maarten (SX),sxm,,
country,Country,CodedValue,CountryCode,Seychelles (SC),syc,,
country,Country,CodedValue,CountryCode,Syria (SY),syr,,
country,Country,CodedValue,CountryCode,Turks and Caicos Islands (TC),tca,,
country,Country,CodedValue,CountryCode,Chad (TD),tcd,,
country,Country,CodedValue,CountryCode,Togo (TG),tgo,,
country,Country,CodedValue,CountryCode,Thailand (TH),tha,,
country,Country,CodedValue,CountryCode,Tajikistan (TJ),tjk,,
country,Country,CodedValue,CountryCode,Tokelau (TK),tkl,,
country,Country,CodedValue,CountryCode,Turkmenistan (TM),tkm,,
country,Country,CodedValue,CountryCode,Timor-Leste (TL),tls,,
country,Country,CodedValue,CountryCode,Tonga (TO),ton,,
country,Country,CodedValue,CountryCode,Trinidad And Tobago (TT),tto,,
